pipeline_component,paper_influence,why_used,code_files
Participant-level split and clean internal protocol,P5 confounding critique; P2 Coswara metadata/bias analysis,Avoid same-participant leakage and make internal estimates less inflated.,src/covid_audio_btp/strong_baseline_protocol.py; scripts/03_create_splits.py
Quality audit and quality-ok filtering,P4 COUGHVID quality labels; P11 deployment-noise concerns,Remove corrupt/short/mostly-silence recordings and report quality effects.,src/covid_audio_btp/quality.py; scripts/04_quality_audit.py
Extended acoustic descriptors,P10 acoustic features; P13/P16 feature-engineering evidence,"MFCC/delta/mel/chroma/spectral contrast/tonnetz/low-level descriptors provide interpretable, reproducible features.",src/covid_audio_btp/strong_features.py; scripts/49_extract_strong_features.py
OpenSMILE ComParE2016 + IS10,P9 OpenSMILE speech; P10/P16 feature selection; ComParE/IS10 paralinguistic practice,"Add a strong, standardized handcrafted paralinguistic feature bank before final validation.",src/covid_audio_btp/opensmile_features.py; scripts/56_run_compare_is10_rescue.py
Top-k LightGBM feature selection,"P10 RFECV, P16/P17 feature ranking logic, P18 SFS",Reduce 10k+ merged features to 500/800/1200 selected descriptors without copying one paper pipeline.,src/covid_audio_btp/compare_is10_rescue.py; src/covid_audio_btp/paper_comparable_cv.py
"Model bank: logistic, RF/ExtraTrees, SVM-RBF, XGBoost, LightGBM, CatBoost, SMOTE variants",P10 BO/SMOTE/TM; P9 RF/SVM; broad COVID audio ML literature,Test strong classical learners over high-dimensional acoustic features with training-only class balancing.,src/covid_audio_btp/strong_baseline.py
Threshold chosen on validation balanced accuracy,P10 threshold moving; clinical imbalance concerns from P5/P6,Separate threshold selection from test scoring and avoid default 0.5 under imbalance.,src/covid_audio_btp/metrics.py; src/covid_audio_btp/strong_baseline.py
"Multimodal fusion: uniform mean, validation-weighted, stacked logistic",P2 Coswara multimodal sounds; P7 cough/breath; P13 cough/breath/speech,"Evaluate whether cough, breath, and speech complement each other.",src/covid_audio_btp/strong_baseline.py; src/covid_audio_btp/fusion.py
Temporal validation and month causal audit,P1 drift-adaptive framework; P5 target-setting recommendations,Measure whether internal performance survives chronological shift and whether month is a shortcut.,src/covid_audio_btp/temporal_holdout.py; src/covid_audio_btp/temporal_month_causal.py
Metadata confounding and IPW sensitivity,P5 confounding critique; P2 subgroup/bias analysis; P8 confounder discussion,Quantify how much label predictability exists without audio and how controlled weighting changes audio metrics.,src/covid_audio_btp/metadata_confounding.py; src/covid_audio_btp/ipw_sensitivity.py
Calibration and prevalence recalibration,P6 confidence calibration; P10 future calibration work,Report whether probabilities remain meaningful under external prevalence shift.,src/covid_audio_btp/calibration.py; src/covid_audio_btp/calibration_shift.py; src/covid_audio_btp/prevalence_recalibration.py
COUGHVID external transfer,P4 COUGHVID dataset; P10 cross-dataset motivation; P11 external validation gap,Test whether Coswara-trained models transfer to a public external cough dataset.,src/covid_audio_btp/compare_is10_final_validation.py; scripts/58_run_compare_is10_final_validation.py
