paper_id,paper,paper_result,limitation_or_future_work,coverage,what_we_did,remaining_gap,primary_source
P1,"JMIR drift-adaptive cough audio, 2025",Development AUROC 0.691 on COVID-19 Sounds and 0.668 on Coswara; postdevelopment AUROC 0.607 and 0.597.,"Explicitly targets temporal drift; notes Coswara adaptation was less consistent due changing prevalence, symptoms, age/gender biases; UDA assumes source-target similarity and AL needs reliable labels.",Partially covered,Built time-stratified and strict early-to-late temporal evaluations; monthly label/covariate shift tables; temporal month causal audit; uncertainty under shift; final ComParE+IS10 temporal stress test.,Did not implement UDA or active learning; did not validate newer variants with prospective deployment data.,P1_jmir_drift_adaptive.pdf/text lines around Discussion and Principal Findings.
P2,"Coswara dataset paper, Scientific Data 2023",BLSTM COVID/non-COVID classifier reported AUC 91.5% with subgroup bias/fairness analyses.,"Future extension: enlarge subject count and increase diversity across demographics, gender, age, and health conditions; metadata can expose bias.",Partially covered,Used Coswara as source dataset; participant-level splits; quality audit; metadata confounding; temporal/month shift; subgroup and residual SMD analyses.,Did not collect new subjects or improve demographic diversity; dataset limitations remain inherited.,P2_coswara_arxiv_2305.12741 text Technical Validation/Bias/Future Extension.
P4,"COUGHVID dataset paper, Scientific Data 2021",Dataset paper; cough detector ROC area 0.97; expert diagnosis agreement poor (Fleiss kappa about 0.0031).,COUGHVID labels are noisy; private test set for independent evaluation; metadata such as age/gender may be needed as context.,Covered for external stress / partially for label noise,"Ran final Coswara-to-COUGHVID external transfer on 8,331 cough samples; also earlier COUGHVID internal baselines for MFCC/eGeMAPS/BEATs/PANNs.",Did not use private COUGHVID evaluator; did not repair expert-label noise; external transfer remains weak.,P4_coughvid_arxiv_2009.11644 text Technical Validation/Inter-Rater Reliability/Private Set.
P5,"Nature Machine Intelligence confounding critique, 2024",Audio ROC-AUC 0.846 before matching; after matching on symptoms/demographics ROC-AUC about 0.619; symptoms often outperform audio in replication.,"Recommends metadata dissemination, recruitment-bias control, matching, targeted test sets, expected utility, and out-of-study replication.",Strongly covered,"Metadata-only classifiers, IPW-controlled audio evaluation, residual SMD tables, matched temporal cohort, external COUGHVID transfer, calibration and operating-point reports.",Residual unmeasured confounding remains possible; no randomized/prospective cohort.,P5_coppock_arxiv_2212.08570 Discussion and recommendations.
P6,"Confidence-calibrated clinical support, 2024",ENCL-DNN AUROC 0.834 on Coswara and 0.854 on Cambridge; ECE improved from 0.178 to 0.089 on Coswara.,"Emphasizes reliable probability calibration and uncertainty, not only AUROC.",Partially covered,"Every model bundle reports Brier, ECE, NLL; calibration-under-shift and prevalence recalibration analyses included.",Did not implement ENCL-DNN itself; external probabilities still poorly calibrated without prevalence correction.,P6_confidence_calibrated.pdf Table I/II/IV.
P7,"Hierarchical Spectrogram Transformer, IEEE JBHI",Reports over 90% AUC for COVID detection; HST outperforms CNN/RNN/transformer baselines on Cambridge/COUGHVID tasks.,"Not a diagnostic test; future work should compare with antigen tests, support mobile/cloud deployment, standardize recording procedures, validate broader cohorts/diseases, and add explanation/uncertainty.",Partially covered,"Included deep spectrogram/CNN branches, SSL WavLM attempt, multimodal cough/breath/speech fusion, temporal/external validation, and uncertainty/calibration tables.",Did not reproduce HST architecture; no mobile/cloud implementation; no antigen-test comparison; no broad multi-disease cohort.,P7_hst.pdf Discussion.
P8,"SympCoughNet, Frontiers Digital Health 2025","Accuracy 89.30%, AUROC 94.74%, PR 91.62% using symptom-assisted attention.",Acknowledges confounders age/gender/symptoms; future work: other respiratory diseases and additional multimodal data.,Partially covered but intentionally different,Used symptoms as confounding/audit variables rather than as diagnostic input; quantified symptoms-only AUROC 0.932 to show risk of shortcut learning.,Did not build symptom-assisted classifier; no multi-disease validation.,P8_sympcoughnet.pdf Table 2 and Discussion/Conclusion.
P9,"PLOS ONE OpenSMILE speech/vowels, 2025","RF with ANOVA-selected OpenSMILE features reported accuracies 76.47%, 75.54%, and 75.54% for vowels /a/, /e/, /o/.","Handcrafted OpenSMILE only; performance sensitive to feature selection; future deep end-to-end, larger/diverse speech samples, optimization, XAI.",Partially covered,Added OpenSMILE ComParE2016 + IS10; LightGBM feature ranking top-800; paper-comparable speech 10-fold CV AUROC 0.806; feature selection tables.,Did not train raw-audio end-to-end speech model to completion; no XAI beyond feature attribution.,P9_plos_speech.pdf limitations/conclusion.
P10,"DNDT/DNDF ESWA cross-dataset, 2026","Strategy 5 reports DNDF AUC 0.92 on Coswara, 0.93 on COUGHVID, 0.97-0.99 on other settings; combined dataset AUC/accuracy about 0.97.","Limitations include threshold-moving clinical mismatch, no temporal validation on newer variants, no deployable healthcare evaluation, no cough-specific subtype annotations; future calibration, interpretability, external stability, multi-class disease classification.",Partially covered,"Adopted feature selection, SMOTE model bank, threshold tuning, cross-dataset transfer, calibration metrics, final temporal validation, and external stability evidence; did not copy DNDT/DNDF.",Did not beat their internal AUCs; did not implement DNDT/DNDF; no multi-class disease task; no clinical deployment.,"P10_dndt_dndf_eswa.pdf Table 8, Limitations, Conclusion/Future Work."
P11,"Audio-Based Screening of Respiratory Diseases, 2026",Methodology/review style evidence for respiratory screening pipeline concerns.,"Calls for subgroup robustness/fairness, mobile noise/microphone variability, device-invariant features, domain adaptation, external validation, nested/repeated subject-level evaluation, and ablations.",Partially covered,"Quality audit, domain-shift audit, CORAL baseline, external COUGHVID validation, paper-comparable CV, temporal validation, ablation summaries.",No device-invariant learned representation that fixes transfer; no full formal ablation of every preprocessing component.,P11_make_audio_screening.pdf future-work limitations.
