paper_id,paper_name,modality,dataset,split_unit,split_style,n_splits,reported_metric,reported_value,comparison_notes
eswa_dndf_internal_coswara,Robust COVID-19 detection from cough sounds using deep neural decision tree and forest,cough,Coswara,unclear_in_paper_text,10-fold stratified cross-validation,10,AUROC,0.92,Within-dataset DNDF result with RFECV+BO+SMOTE+threshold moving; paper-style internal target
eswa_dndf_internal_coughvid,Robust COVID-19 detection from cough sounds using deep neural decision tree and forest,cough,COUGHVID,unclear_in_paper_text,10-fold stratified cross-validation,10,AUROC,0.93,Within-dataset DNDF result; not external transfer
eswa_dndf_cross_coswara_to_coughvid,Robust COVID-19 detection from cough sounds using deep neural decision tree and forest,cough,Coswara to COUGHVID,dataset_level,cross-dataset train-source test-target,1,AUROC,0.53,Their own strict cross-dataset transfer row; compare against our Coswara-to-COUGHVID external results
eswa_dndf_cross_coughvid_to_coswara,Robust COVID-19 detection from cough sounds using deep neural decision tree and forest,cough,COUGHVID to Coswara,dataset_level,cross-dataset train-source test-target,1,AUROC,0.57,Reverse cross-dataset transfer row from their table
hst_coughvid_internal,COVID-19 Detection From Respiratory Sounds With Hierarchical Spectrogram Transformers,cough,COUGHVID,participant_level,10-fold CV with about 70 train / 20 test / 10 validation per fold,10,AUROC,0.90,Within-dataset transformer result; exact HST comparison needs participant-disjoint folds
hst_cambridge_task2_cough,COVID-19 Detection From Respiratory Sounds With Hierarchical Spectrogram Transformers,cough,Cambridge task 2,participant_level,10-fold CV with about 70 train / 20 test / 10 validation per fold,10,AUROC,0.98,Cambridge cough symptomatic-control task; not directly reproducible on Coswara
jmir_coswara_development,A Comprehensive Drift-Adaptive Framework for Sustaining Model Performance in COVID-19 Detection From Dynamic Cough Audio Data,cough,Coswara,participant_level,chronological 70:30 development/postdevelopment; development split 60:20:20,1,AUROC,0.668,Development-period baseline AUC; temporal-drift comparison
jmir_coswara_postdevelopment,A Comprehensive Drift-Adaptive Framework for Sustaining Model Performance in COVID-19 Detection From Dynamic Cough Audio Data,cough,Coswara,participant_level,chronological 70:30 development/postdevelopment; development split 60:20:20,1,AUROC,0.597,Postdevelopment baseline AUC; temporal-drift comparison
coppock_random_sentence,Audio-based AI classifiers show no evidence of improved COVID-19 screening over simple symptoms checkers,sentence,UK vocal audio,participant_level,randomized split,1,ROC-AUC,0.846,Random SSAST result; not a Coswara target
coppock_matched_sentence,Audio-based AI classifiers show no evidence of improved COVID-19 screening over simple symptoms checkers,sentence,UK vocal audio,participant_level,matched on recruitment channel age gender symptoms,1,ROC-AUC,0.619,Confounder-controlled SSAST result
coppock_random_cough,Audio-based AI classifiers show no evidence of improved COVID-19 screening over simple symptoms checkers,cough,UK vocal audio,participant_level,randomized split,1,ROC-AUC,0.790,Cough-only SSAST random result
coppock_matched_cough,Audio-based AI classifiers show no evidence of improved COVID-19 screening over simple symptoms checkers,cough,UK vocal audio,participant_level,matched on recruitment channel age gender symptoms,1,ROC-AUC,0.561,Cough-only SSAST matched result
